Company,Position,Location,URL
세미브레인,IC Design Engineer 외 신입/경력의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=f013ae24682e3a75&bb=a8Bhex7Sq514mYC0F-rljbRbBG1R7gK1oIzsAoV-z_8BL8aZgumMmPj739t3XMKCncR5dtjP8Eyw5bcvDzqFTgQ9UO23_diA-mE_e6Sra2c%3D&xkcb=SoDd67M3HhZFrHWXph0BbzkdCdPP&fccid=9be06fb350ae1c28&vjs=3'})
데브시스터즈,[데브시스터즈] Data Platform Software Engineer (Senior/Junior)의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=d832eb50f24e4587&bb=a8Bhex7Sq514mYC0F-rljUHXwW7ELGzr45oF0pR5y9fLLYTbPzZEYJ3y3f495w9xN5BbgNHg3RCISildqu2oEcRw3xcCfQDxFxTPrOfQJSA%3D&xkcb=SoBp67M3HhZFrHWXph0AbzkdCdPP&fccid=58a9a803698a0afd&vjs=3'})
실리콘스튜디오코리아,2023년 하반기 부문별 [가상현실 엔지니어/AI 엔지니어]의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=6d1e4a3b652681b9&bb=a8Bhex7Sq514mYC0F-rljUHXwW7ELGzrYHLce0k12lpL7O_luIN_-8k4lZ4Mx5WyMOZgi8LWV0ASnGbC4LnHnMgxJFKGz8-dgU68z0jDEcw%3D&xkcb=SoDn67M3HhZFrHWXph0HbzkdCdPP&fccid=b6b35101788195f6&vjs=3'})
8퍼센트,8퍼센트 개발자 (신입/경력)의 전체 세부 정보,('서울 종로구', {'https://kr.indeed.com//rc/clk?jk=8af26b37623864c4&bb=a8Bhex7Sq514mYC0F-rljVynY-nZTlrqYz_V8uD22nnsoHV2Quj1pHFx7iuQ9KEs4SWS-OJ_hh7DkJteuhkqvRqxzbUHjtYpuFI8vF6W5Mc%3D&xkcb=SoBT67M3HhZFrHWXph0GbzkdCdPP&fccid=ac216a9ae7b75c06&vjs=3'})
Dunamu,파이썬 백엔드 엔지니어(Python Backend Engineer)의 전체 세부 정보,('서울', {'https://kr.indeed.com//rc/clk?jk=272637ad170fe32c&bb=a8Bhex7Sq514mYC0F-rljeJ_bk9-7GXNvFT6g8KLm_27AbnB3iVzGpgaRLEjY0EM35YkY1ey5xBaYB7y-ej8TpacI5nO8rtKyXaXqoUhfGI%3D&xkcb=SoDO67M3HhZFrHWXph0FbzkdCdPP&fccid=54c9c086b03b7cdc&vjs=3'})
Apple,Network Engineer -의 전체 세부 정보,('서울', {'https://kr.indeed.com//rc/clk?jk=24cba7bdfe942989&bb=DWb14hn4gljFv8Ph-34RJUqMDgmxV10N9Xa92a8QV9IobP9H4oboOAf-4q2M1f3_&xkcb=SoBc67M3HhZFO6zUFJ0LbzkdCdPP&fccid=c1099851e9794854&vjs=3'})
그레이프 파트너즈,빅데이터분석 담당자 in 자원순환 모바일 앱 스타트업의 전체 세부 정보,('서울 성동구', {'https://kr.indeed.com//rc/clk?jk=5dd25746d945e947&bb=lDuAICkzomxc4UFcYY08HKxr3hyt6GKFzytwJD6kcD5GFaL_Duz0jNhLWxo_luUR&xkcb=SoCu67M3HhZFOlTUFJ0KbzkdCdPP&fccid=e4111ad0459bc402&vjs=3'})
BOEING,Associate AI/ML Software Engineer의 전체 세부 정보,('서울', {'https://kr.indeed.com//rc/clk?jk=ecf535d2a2ad0ba9&bb=S3ah1hBjQxQowYeaO8uYfbR2PGpv__htl8d_z1wDt6C-hxNIfljiYu4jU-ohGJ76&xkcb=SoBf67M3HhZFOlzUFJ0LbzkdCdPP&fccid=edae4285faf6c2f0&vjs=3'})
딥인스펙션,딥러닝 연구개발자 (서울근무)의 전체 세부 정보,('서울 송파구', {'https://kr.indeed.com//rc/clk?jk=a3aaffa6ff1225b2&bb=S3ah1hBjQxTsPtxlpBohXpndmSQFAvOIlweLlDS1GbBCtYxFTrn8xpjarqDMZb9k&xkcb=SoB267M3HhZFOlzUFJ0JbzkdCdPP&fccid=c5de7e4571bb1a5a&vjs=3'})
코인챗,웹개발  백엔드 외 신입/경력 정규직의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=e3f3b7e2103d9bc7&bb=S3ah1hBjQxT14g4y7gt8wus964a0iMP75CP2Q8y7ZUCvKN3ApWkS4jtXibaSuqzb&xkcb=SoBM67M3HhZFOlzUFJ0PbzkdCdPP&fccid=e60f835b4d91f8e6&vjs=3'})
아이이에이,대기업 서비스 파이썬 CI/CD 개발자의 전체 세부 정보,('서울 강서구', {'https://kr.indeed.com//rc/clk?jk=d389d63ea3b3f0f7&bb=59TcLcypCnqfYkI9V4gQSFPPNN37LFVFSwbkF2qq9o4qM7DJbXlAfsqmxq64iwrQ&xkcb=SoBl67M3HhZFOkTUFJ0KbzkdCdPP&fccid=4f8894fe45617618&vjs=3'})
Nexon,[인텔리전스랩스] 데이터 분석가 (마케팅)의 전체 세부 정보,('경기도 성남', {'https://kr.indeed.com//rc/clk?jk=aec83962a6b7ff50&bb=59TcLcypCnqZdv9agEpwOBkGrfcnojKaCZelHse2P_3VDrtap4NydfUQHGVRZ4Q1&xkcb=SoBM67M3HhZFOkTUFJ0IbzkdCdPP&fccid=aba87288e4cc3687&vjs=3'})
주식회사퍼즐데이터,퍼즐데이터 역량있는 데이터 분석가의 전체 세부 정보,('서울 역삼동', {'https://kr.indeed.com//rc/clk?jk=116009dbf59211ed&bb=59TcLcypCnrmq7lmvrpEnsa_qriq-ozEJr4JsemtIh41r6fh-mY4IGwwDuU0H_fi&xkcb=SoB267M3HhZFOkTUFJ0ObzkdCdPP&fccid=bbae7241cc714540&vjs=3'})
소프트랩스,[(주)소프트랩스] 백엔드/ 프론트엔드/ 기획자 / 웹 개발자/ 웹 앱 기획자의 전체 세부 정보,('서울 금천구', {'https://kr.indeed.com//rc/clk?jk=16e605c508eff98a&bb=GIFc3vBw73QA4GrGYwqLmUcCUiWOZ8BvpHrdl37nmuvkEVSX-ubFAyXvAMKWshqB&xkcb=SoCU67M3HhZFOkzUFJ0LbzkdCdPP&fccid=5693dea15fa48296&vjs=3'})
브랜드인게이지먼트네트워크인크,NLP 엔지니어 (Natural Language Processing developer)의 전체 세부 정보,('서울 중구', {'https://kr.indeed.com//rc/clk?jk=512ea7785830e3d6&bb=GIFc3vBw73TiPvD-JoBF-nwzml4kpikjFE2SXddQUqpYGs20_rK_LrqxJcVhfd9g&xkcb=SoC967M3HhZFOkzUFJ0JbzkdCdPP&fccid=f23a41cb201e2ca6&vjs=3'})
한국정보기술연구원,[전액무료/연계] JAVA 백엔드 웹개발 교육생의 전체 세부 정보,('서울 구로구', {'https://kr.indeed.com//rc/clk?jk=5d0830b150768acf&bb=GIFc3vBw73TnM66Sh4PkQsraTcP5I23qo0WPKRUds4tfxKC6EfZAItmLYk-nn55h&xkcb=SoCH67M3HhZFOkzUFJ0PbzkdCdPP&fccid=f065bd051552743e&vjs=3'})
인더포레스트,[보안 컨설팅] 수준높은 취약점 진단  모의해킹 컨설턴트 신입/경력 정규직  병특의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=99d4c13cfc94b4ce&bb=VQOpC_06aImCjXGMNunNQlHkoct7b5FR_NAbSJ6tN13tSxaZdieojCuHAKfM5fkK&xkcb=SoB567M3HhZFOnTUFJ0KbzkdCdPP&fccid=ce9fe2ef8b14b631&vjs=3'})
퍼솔켈리코리아 유한회사,[국내그룹사] Data Scientist의 전체 세부 정보,('서울', {'https://kr.indeed.com//rc/clk?jk=4be8824b93ff444e&bb=VQOpC_06aIlRu5rvjxGwbnoVyhd6Ie1hghNetmlsMyCklc0QUeW-QMwoeePZAKIz&xkcb=SoBQ67M3HhZFOnTUFJ0IbzkdCdPP&fccid=2c5b80eeab63070c&vjs=3'})
RGA,IFRS17 Analyst의 전체 세부 정보,('서울', {'https://kr.indeed.com//rc/clk?jk=94e016cfb6c94df4&bb=VGNNEIJjCRxIhuDFctSXsRVvtd3kmO0krSv0TW30es1O_rwQSvbZ7kLlqQbE5q2R&xkcb=SoA867M3HhZFOnzUFJ0KbzkdCdPP&fccid=47a010668bfbe4c6&vjs=3'})
중앙정보처리학원,[전액 무료] 자바(JAVA) 프론트엔드&백엔드 풀스택 개발자 올인원 취업교육의 전체 세부 정보,('서울 마포구', {'https://kr.indeed.com//rc/clk?jk=9239f9f595f5f4b7&bb=VGNNEIJjCRyZJ7lSVGFautRftbpBdO02lMxM_YJWZThxUeG8fW0SAslmVjXgBiFX&xkcb=SoAV67M3HhZFOnzUFJ0IbzkdCdPP&fccid=2f25bb139639ef63&vjs=3'})
